#Encoding: UTF-8
#Ecu CALID: 000020DB1DAA03
#Ecu PRGID: 000021571DAA01
#VIN: WBA1J9C5XGV696132
Time,Amb pressure (PSI),Accel Ped. Pos. (%),Battery volt. (V),Boost (PSI),Boost (mani) (PSI),Boost target (PSI),Coolant (*F),Gear (-),IAT (*F),Lambda bank 1 (AFR),Lambda target (AFR),Load act. (%),Load req. (%),LTFT 1 (%),MAF (g/s),MAP volt. (V),Oil pressure (PSI),Oil temp (*F),Rail pressure mean (PSI),Rail pressure req. (PSI),RPM (rpm),STFT 1 (%),Throttle Position (*),Timing Cyl. 1,Timing Cyl. 2 (*),Timing Cyl. 3 (*),Timing Cyl. 4 (*),Timing Cyl. 5 (*),Timing Cyl. 6 (*),TMAP volt. (V),Torque act. clutch (Nm),WGDC (%),Boost (mani) RAM (PSI),Boost setpoint factor,Boost target RAM (PSI),Compressor after P-D (kW),Compressor base (kW),Current Map (-),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Fuel mass flow rate (g/s),Fuel Mode (-),Fuel Temp (CAN) (*F),Knock Interpolation (-),Load actual RAM,MAF REQ (P corr.) (g/s),MAF req. WGDC (g/s),Mdk_max_gs (NM),MHD+ WGDC Base (%),MHD+ WGDC D-Factor (%),MHD+ WGDC P-Factor (%),Rail pressure dev. (MPa),Torque lim. 1 (-),Torque lim. 2 (-),Torque lim. 3 (-),Turbine D-factor (kW),Turbine P-factor (kW),WG distribution factor (-),WGDC I-factor (%),MHD 5.21 000021571DAA01 E85v6InjectorsFix.bin
558.780,14.75,0,14.68,0,-0.8,0,183,3,100,13.24,16.07,11.2,12.5,-0.03,3.6,1.87,44.15,169,1790.9,1783.8,927,0,3.8,18.8,18.8,18.8,18.8,18.8,18.8,1.21,-19,100,-0.8,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12,4.02,4.03,1000,99.99,0,-0.35,-0.03,0,0,0,0,0,0.15,0,0
558.882,14.75,0,14.79,0,-0.8,0,183,3,100,13.15,15.84,12,12.7,-0.03,3.6,1.87,44.18,169,1756.5,1755.5,917,0,3.9,17.6,17.6,17.6,17.6,17.6,17.6,1.21,-19,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.3,3.98,4.04,1000,99.99,0,-0.34,-0.03,0,0,0,0,0,0.15,0,0
558.982,14.75,0,14.79,0,-0.7,0,183,3,100,13.08,15.65,12,12.7,-0.03,3.6,1.87,44.06,169,1731.8,1729.1,917,0,3.9,16.4,16.4,16.4,16.4,16.4,16.4,1.21,-17,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.3,3.98,4.03,1000,99.99,0,-0.34,0.01,0,0,0,0,0,0.15,0,0
559.082,14.75,0,14.86,0,-0.7,0,183,3,100,13.08,15.5,12,12.7,-0.03,3.6,1.87,44.06,169,1696.7,1702.9,916,0,3.9,16.5,16.5,16.5,16.5,16.5,16.5,1.21,-17,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.5,3.96,4.03,1000,99.99,0,-0.34,-0.04,0,0,0,0,0,0.15,0,0
559.184,14.75,0,14.86,0,-0.7,0,183,3,100,13.1,15.44,12,12.8,-0.02,3.6,1.87,44.08,169,1684,1676.3,903,0,3.9,16.3,16.3,16.3,16.3,16.3,16.3,1.21,-16,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.4,3.99,4.04,1000,99.99,0,-0.34,-0.02,0,0,0,0,0,0.15,0,0
559.297,14.75,0,14.9,0,-0.7,0,183,3,100,13.15,15.38,12,12.8,-0.02,3.6,1.87,44.05,169,1649.4,1649.8,898,0,4,15.6,15.6,15.6,15.6,15.6,15.6,1.21,-16,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.4,3.98,4.03,1000,99.99,0,-0.34,-0.04,0,0,0,0,0,0.15,0,0
559.423,14.75,0,14.9,0,-0.7,0,183,3,100,13.2,15.31,12,12.9,-0.02,3.6,1.87,44.09,169,1615.9,1612.9,894,0,4,15.6,15.6,15.6,15.6,15.6,15.6,1.21,-16,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.5,3.93,4.01,1000,99.99,0,-0.34,-0.04,0,0,0,0,0,0.15,0,0
559.542,14.75,0,14.93,0,-0.7,0,183,3,100,13.26,15.26,12,12.8,-0.02,3.6,1.87,44.03,169,1590.8,1586.5,889,0,4.1,15.8,15.8,15.8,15.8,15.8,15.8,1.21,-16,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.6,3.95,3.99,1000,99.99,0,-0.34,0.03,0,0,0,0,0,0.15,0,0
559.641,14.75,0,14.95,0,-0.7,0,183,3,100,13.34,15.22,12,13.1,-0.02,3.6,1.87,44,169,1548.4,1554.6,884,0,4,15.1,15.1,15.1,15.1,15.1,15.1,1.21,-16,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.6,3.96,4.01,1000,99.99,0,-0.33,-0.01,0,0,0,0,0,0.15,0,0
559.772,14.75,0,14.95,0,-0.7,0,183,3,100,13.39,15.18,12,13.1,-0.02,3.5,1.87,43.96,169,1533.2,1525.6,883,0,4,15.1,15.1,15.1,15.1,15.1,15.1,1.21,-16,100,-0.7,1,0,0,0,2,0,0,0,0,0,0,4.3,2,-40,0,12.5,4.28,4.1,1000,99.99,0,-0.32,0.06,0,0,0,0,0,0.14,0,0
