#Encoding: UTF-8
#Ecu CALID: 000020DB1DAA03
#Ecu PRGID: 000021571DAA01
#VIN: WBA1J9C5XGV696132
Time,Amb pressure (PSI),Accel Ped. Pos. (%),Battery volt. (V),Boost (PSI),Boost (mani) (PSI),Boost target (PSI),Coolant (*F),Gear (-),IAT (*F),Lambda bank 1 (AFR),Lambda target (AFR),Load act. (%),Load req. (%),LTFT 1 (%),MAF (g/s),MAP volt. (V),Oil pressure (PSI),Oil temp (*F),Rail pressure mean (PSI),Rail pressure req. (PSI),RPM (rpm),STFT 1 (%),Throttle Position (*),Timing Cyl. 1,Timing Cyl. 2 (*),Timing Cyl. 3 (*),Timing Cyl. 4 (*),Timing Cyl. 5 (*),Timing Cyl. 6 (*),TMAP volt. (V),Torque act. clutch (Nm),WGDC (%),Boost (mani) RAM (PSI),Boost setpoint factor,Boost target RAM (PSI),Compressor after P-D (kW),Compressor base (kW),Current Map (-),Cyl1 Timing Cor (*),Cyl2 Timing Cor (*),Cyl3 Timing Cor (*),Cyl4 Timing Cor (*),Cyl5 Timing Cor (*),Cyl6 Timing Cor (*),Fuel mass flow rate (g/s),Fuel Mode (-),Fuel Temp (CAN) (*F),Knock Interpolation (-),Load actual RAM,MAF REQ (P corr.) (g/s),MAF req. WGDC (g/s),Mdk_max_gs (NM),MHD+ WGDC Base (%),MHD+ WGDC D-Factor (%),MHD+ WGDC P-Factor (%),Rail pressure dev. (MPa),Torque lim. 1 (-),Torque lim. 2 (-),Torque lim. 3 (-),Turbine D-factor (kW),Turbine P-factor (kW),WG distribution factor (-),WGDC I-factor (%),MHD 5.21 000021571DAA01 E85v6InjectorsFix.bin
0.279,14.71,0,12.15,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
0.410,14.71,0,12.15,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
0.525,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.3,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
0.635,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.06,0,0,0,0,0,0.09,0,0
0.743,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.6,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
0.844,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.6,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.004,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.104,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.204,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.314,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.415,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.555,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.655,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
1.768,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1311.5,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
2.028,14.71,0,12.14,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.6,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
2.145,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.6,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,-0.08,-9.05,0,0,0,0,0,0.09,0,0
2.244,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1311.7,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,-0.03,-9.05,0,0,0,0,0,0.09,0,0
2.345,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1313.1,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,-0.01,-9.05,0,0,0,0,0,0.09,0,0
2.444,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.2,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
2.604,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.2,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,0,-9.05,0,0,0,0,0,0.09,0,0
2.704,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.6,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,-0.08,-9.05,0,0,0,0,0,0.09,0,0
2.826,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1311.7,0,0,0,25.1,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84.6,2,-40,0,63,1.26,1.34,1000,99.99,0,-0.13,-9.05,0,0,0,0,0,0.09,0,0
2.924,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.8,0.01,0,1.97,15.36,88,1312.6,0,0,0,25,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,84,2,-40,0,63,1.38,1.34,1000,99.99,0,-0.04,-8.85,0,0,0,0,0,0.08,0,0
3.075,14.71,0,12.13,-0.1,0,0,91,0,82,235.2,235.2,63,40.9,0.01,0,1.96,15.75,88,1312.6,174.2,109,0,20.1,0,0,0,0,0,0,1.2,-66,0,-0.1,1,0,0,0,1,0,0,0,0,0,0,83.9,2,-40,0,51,1.51,1.38,689,99.99,1.36,0.09,-5.12,0,0,0,-0.06,0,0.09,0,0
3.174,14.71,0,12.13,-0.1,-0.1,0,91,0,82,235.2,235.2,52.5,37.5,0.01,2.9,1.94,17.71,88,1139.8,609.7,210,0,18.7,7.8,7.8,7.8,7.8,7.8,7.8,1.2,-64,0,-0.2,1,0,0,0,1,0,0,0,0,0,0,83.9,2,-40,0,66.7,6.4,2.23,722,99.99,0,0.04,-1.53,0,0,0,0,0,0.03,0,0
3.284,14.71,0,12.13,-0.1,-1.4,0,91,0,82,235.2,235.2,67.5,31.7,0.01,17.6,1.79,24.89,88,909.7,900.1,816,0,3.9,13.3,13.3,13.3,13.3,13.3,13.3,1.2,34,0,-3.2,1,0,0,0,1,0,0,0,0,0,0,75.9,2,-40,0,58.5,8.5,6.45,528,99.99,0,0.03,2.11,0,0,0,0,0,0.04,0,0
3.384,14.71,0,11.61,-0.1,-4.7,0,91,0,82,80.6,73.16,49.5,27,0.01,11.1,1.57,45.9,88,1202.4,1219.5,702,0,1,6.7,6.7,6.7,6.7,6.7,6.7,1.2,162,100,-6.1,1,0,0,0,1,0,0,0,0,0,0,32.3,2,-40,0,42.4,6.85,6.64,650,99.99,0,0.01,0.2,0,0,0,0,0,0.07,0,0
3.495,14.71,0,11.61,-0.1,-6.9,0,91,0,82,47.04,44.3,23.2,23.2,0.01,6.7,1.38,53.48,88,1262.2,1305.3,882,0,1,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.2,106,100,-6.4,1,0,0,0,1,0,0,0,0,0,0,7,2,-40,0,13.2,9.6,7.92,613,99.99,0,0.03,0.44,0,0,0,0,0,0.08,0,0
